sqft,bedrooms,bathrooms,age,neighborhood,sale_price
2098,4,3.0,68,Suburbs,432354
1717,2,1.0,59,Downtown,532208
2188,4,2.7,59,Downtown,715540
2713,4,2.9,35,Rural,362263
1659,2,1.5,63,Downtown,477538
1659,3,2.9,40,Rural,254718
2747,4,2.9,54,Suburbs,575168
2260,4,2.5,25,Downtown,787681
1518,3,2.1,32,Rural,192916
2125,3,1.6,58,Downtown,624646
1521,2,1.4,43,Rural,202646
1520,3,1.9,34,Rural,199504
1945,4,3.1,69,Rural,232124
652,1,1.0,48,Suburbs,132269
765,1,1.0,55,Downtown,249206
1462,2,1.2,50,Suburbs,289316
1192,1,1.2,9,Rural,165180
1988,4,2.7,66,Rural,251698
1255,3,2.6,22,Suburbs,298975
952,2,1.6,14,Suburbs,231972
2679,5,3.6,37,Downtown,928976
1664,2,1.5,72,Rural,170379
1840,3,2.2,5,Suburbs,472484
945,2,1.0,20,Rural,160768
1473,3,2.0,74,Rural,192420
1866,4,3.1,5,Downtown,766115
1109,2,1.4,30,Downtown,398592
2025,4,2.4,28,Downtown,725931
1439,3,2.1,49,Suburbs,317945
1624,3,2.6,61,Rural,257418
1438,3,2.5,21,Suburbs,408314
2911,5,3.5,4,Suburbs,691255
1791,2,1.7,29,Downtown,595928
1165,2,1.3,44,Rural,178161
2293,3,1.6,16,Rural,292710
1067,1,1.0,46,Downtown,316423
1925,4,3.3,58,Rural,274079
624,2,1.3,61,Downtown,219474
1003,1,1.0,39,Suburbs,220137
1918,3,2.0,17,Suburbs,430886
2243,4,3.4,51,Downtown,723080
1902,3,2.6,12,Suburbs,466133
1730,3,2.8,50,Suburbs,409825
1619,3,2.1,16,Downtown,593271
912,2,1.5,43,Suburbs,248350
1368,2,1.0,57,Rural,145678
1523,2,1.8,38,Suburbs,315895
2434,5,3.1,49,Downtown,822910
2006,3,2.2,66,Rural,237884
742,1,1.0,11,Rural,133815
1994,3,1.9,3,Suburbs,459515
1568,2,1.1,55,Rural,209885
1393,2,1.2,21,Downtown,523822
2167,3,1.9,45,Rural,265893
2418,4,2.6,22,Suburbs,579150
2358,4,3.1,12,Suburbs,543015
1296,2,1.1,64,Rural,170386
1614,2,1.5,44,Downtown,531782
1998,3,2.5,26,Downtown,707784
2385,3,1.9,56,Suburbs,482295
1512,2,1.2,63,Suburbs,236669
1688,2,1.3,60,Downtown,484591
1136,1,1.1,44,Rural,124995
1082,1,1.0,32,Rural,119405
2287,4,2.6,38,Rural,301757
2613,4,2.9,46,Rural,321875
1756,2,1.1,49,Downtown,512140
2402,4,3.0,73,Suburbs,479172
2016,3,2.2,60,Suburbs,405044
1412,3,2.0,71,Rural,196327
2016,4,2.5,25,Downtown,705324
2722,5,3.2,37,Downtown,912487
1778,3,2.3,52,Rural,217654
2738,5,3.9,16,Rural,388576
400,1,1.0,47,Rural,68869
2293,4,2.9,9,Suburbs,491653
1852,4,2.2,67,Rural,252078
1620,3,1.9,46,Suburbs,389670
1855,4,2.8,64,Downtown,596726
607,2,1.1,57,Downtown,195530
1668,3,1.8,20,Suburbs,388061
2014,4,2.6,25,Suburbs,465262
2686,5,3.6,61,Suburbs,593230
1489,3,2.0,1,Suburbs,352222
1314,3,1.4,66,Rural,138614
1498,2,1.0,64,Downtown,463768
2349,4,2.6,12,Rural,304303
1997,3,2.2,8,Suburbs,500070
1482,3,1.3,22,Rural,213264
2107,4,2.7,36,Rural,247282
1858,3,1.9,19,Downtown,662318
2381,4,3.2,47,Rural,306782
1378,2,1.3,36,Downtown,448489
1603,2,1.5,50,Suburbs,336691
1564,2,1.4,54,Rural,195403
921,2,1.0,65,Suburbs,201260
1977,4,3.0,32,Downtown,733417
1956,4,2.9,60,Suburbs,444016
1803,3,2.3,27,Suburbs,394041
1659,2,2.6,54,Downtown,525650
950,2,1.0,15,Suburbs,307996
1547,3,2.6,25,Suburbs,399274
1594,3,2.0,52,Suburbs,398726
1318,3,2.2,62,Rural,200319
1703,3,2.1,6,Suburbs,429357
2042,3,2.0,71,Downtown,617492
2931,4,2.6,3,Rural,387242
1904,3,2.2,66,Rural,194485
